timestamp,price,datetime
1755801067623,4245.12,2025-08-22T00:01:07.623000
1755801069129,4245.1,2025-08-22T00:01:09.129000
1755801071175,4245.1,2025-08-22T00:01:11.175000
1755801073083,4245.1,2025-08-22T00:01:13.083000
1755801075086,4245.1,2025-08-22T00:01:15.086000
1755801077174,4245.11,2025-08-22T00:01:17.174000
1755801079411,4245.11,2025-08-22T00:01:19.411000
1755801081419,4245.11,2025-08-22T00:01:21.419000
1755801083094,4244.95,2025-08-22T00:01:23.094000
1755801085105,4244.94,2025-08-22T00:01:25.105000
1755801087407,4244.94,2025-08-22T00:01:27.407000
1755801089093,4244.94,2025-08-22T00:01:29.093000
1755801091084,4244.94,2025-08-22T00:01:31.084000
1755801093089,4244.94,2025-08-22T00:01:33.089000
1755801095097,4244.94,2025-08-22T00:01:35.097000
1755801097089,4244.94,2025-08-22T00:01:37.089000
1755801099405,4244.94,2025-08-22T00:01:39.405000
1755801127994,4244.59,2025-08-22T00:02:07.994000
1755801141888,4242.93,2025-08-22T00:02:21.888000
1755801143880,4242.93,2025-08-22T00:02:23.880000
1755801145586,4242.93,2025-08-22T00:02:25.586000
1755801147592,4242.93,2025-08-22T00:02:27.592000
1755801149597,4243.01,2025-08-22T00:02:29.597000
1755801151581,4243.01,2025-08-22T00:02:31.581000
1755801153606,4243.01,2025-08-22T00:02:33.606000
1755801155583,4243.01,2025-08-22T00:02:35.583000
1755801157567,4245.56,2025-08-22T00:02:37.567000
1755801159899,4245.56,2025-08-22T00:02:39.899000
1755801161885,4245.57,2025-08-22T00:02:41.885000
1755801163586,4245.56,2025-08-22T00:02:43.586000
1755801165917,4245.56,2025-08-22T00:02:45.917000
1755801167862,4246.08,2025-08-22T00:02:47.862000
1755801169902,4246.08,2025-08-22T00:02:49.902000
1755801171618,4246.08,2025-08-22T00:02:51.618000
1755801173912,4246.08,2025-08-22T00:02:53.912000
1755801175928,4246.07,2025-08-22T00:02:55.928000
1755801177881,4246.07,2025-08-22T00:02:57.881000
1755801179902,4246.07,2025-08-22T00:02:59.902000
1755801181585,4246.07,2025-08-22T00:03:01.585000
1755801183649,4246.08,2025-08-22T00:03:03.649000
1755801185899,4246.08,2025-08-22T00:03:05.899000
1755801187820,4246.08,2025-08-22T00:03:07.820000
1755801188011,4246.08,2025-08-22T00:03:08.011000
1755801189904,4246.08,2025-08-22T00:03:09.904000
1755801191882,4246.08,2025-08-22T00:03:11.882000
1755801193566,4246.08,2025-08-22T00:03:13.566000
1755801195569,4246.08,2025-08-22T00:03:15.569000
1755801197573,4245.01,2025-08-22T00:03:17.573000
1755801199866,4245.01,2025-08-22T00:03:19.866000
1755801201593,4243.64,2025-08-22T00:03:21.593000
1755801203826,4243.63,2025-08-22T00:03:23.826000
1755801205568,4243.63,2025-08-22T00:03:25.568000
1755801207870,4243.63,2025-08-22T00:03:27.870000
1755801209893,4243.63,2025-08-22T00:03:29.893000
1755801211564,4243.64,2025-08-22T00:03:31.564000
1755801213578,4243.64,2025-08-22T00:03:33.578000
1755801215567,4243.64,2025-08-22T00:03:35.567000
1755801217568,4243.64,2025-08-22T00:03:37.568000
1755801219565,4245.29,2025-08-22T00:03:39.565000
1755801221575,4245.29,2025-08-22T00:03:41.575000
1755801223571,4245.3,2025-08-22T00:03:43.571000
1755801225569,4245.3,2025-08-22T00:03:45.569000
1755801227890,4245.3,2025-08-22T00:03:47.890000
1755801229896,4245.3,2025-08-22T00:03:49.896000
1755801231581,4245.3,2025-08-22T00:03:51.581000
1755801233576,4245.3,2025-08-22T00:03:53.576000
1755801235578,4245.3,2025-08-22T00:03:55.578000
1755801237873,4245.3,2025-08-22T00:03:57.873000
1755801239862,4245.3,2025-08-22T00:03:59.862000
1755801241877,4245.3,2025-08-22T00:04:01.877000
1755801243566,4243.53,2025-08-22T00:04:03.566000
1755801245566,4243.53,2025-08-22T00:04:05.566000
1755801247780,4243.53,2025-08-22T00:04:07.780000
1755801247958,4243.53,2025-08-22T00:04:07.958000
1755801249892,4243.54,2025-08-22T00:04:09.892000
1755801251569,4243.54,2025-08-22T00:04:11.569000
1755801253572,4243.01,2025-08-22T00:04:13.572000
1755801307480,4241.05,2025-08-22T00:05:07.480000
1755801353993,4246.13,2025-08-22T00:05:53.993000
1755801355928,4246.13,2025-08-22T00:05:55.928000
1755801357603,4247.84,2025-08-22T00:05:57.603000
1755801359889,4247.84,2025-08-22T00:05:59.889000
1755801361588,4247.84,2025-08-22T00:06:01.588000
1755801363921,4247.84,2025-08-22T00:06:03.921000
1755801365918,4247.84,2025-08-22T00:06:05.918000
1755801371148,4247.85,2025-08-22T00:06:11.148000
1755801371341,4247.85,2025-08-22T00:06:11.341000
1755801371824,4247.85,2025-08-22T00:06:11.824000
1755801372009,4247.85,2025-08-22T00:06:12.009000
1755801373590,4247.46,2025-08-22T00:06:13.590000
1755801375600,4247.46,2025-08-22T00:06:15.600000
1755801377595,4247.46,2025-08-22T00:06:17.595000
1755801379591,4247.47,2025-08-22T00:06:19.591000
1755801381604,4247.47,2025-08-22T00:06:21.604000
1755801383588,4247.47,2025-08-22T00:06:23.588000
1755801385598,4247.47,2025-08-22T00:06:25.598000
1755801387925,4247.47,2025-08-22T00:06:27.925000
1755801389927,4247.47,2025-08-22T00:06:29.927000
1755801391594,4248.31,2025-08-22T00:06:31.594000
1755801393589,4248.31,2025-08-22T00:06:33.589000
1755801395601,4248.31,2025-08-22T00:06:35.601000
1755801397599,4248.88,2025-08-22T00:06:37.599000
1755801399598,4248.88,2025-08-22T00:06:39.598000
1755801401909,4248.88,2025-08-22T00:06:41.909000
1755801403921,4248.88,2025-08-22T00:06:43.921000
1755801405600,4248.88,2025-08-22T00:06:45.600000
1755801407696,4248.88,2025-08-22T00:06:47.696000
