timestamp,price,datetime
1755801112063,112389.23,2025-08-22T00:01:52.063000
1755801113083,112389.23,2025-08-22T00:01:53.083000
1755801115413,112383.68,2025-08-22T00:01:55.413000
1755801117090,112378.27,2025-08-22T00:01:57.090000
1755801119089,112378.27,2025-08-22T00:01:59.089000
1755801121076,112378.27,2025-08-22T00:02:01.076000
1755801123098,112378.27,2025-08-22T00:02:03.098000
1755801125116,112378.27,2025-08-22T00:02:05.116000
1755801127690,112378.27,2025-08-22T00:02:07.690000
1755801129096,112378.28,2025-08-22T00:02:09.096000
1755801131108,112378.28,2025-08-22T00:02:11.108000
1755801133383,112370.45,2025-08-22T00:02:13.383000
1755801135077,112343.11,2025-08-22T00:02:15.077000
1755801137096,112343.12,2025-08-22T00:02:17.096000
1755801139426,112343.12,2025-08-22T00:02:19.426000
1755801294948,112363.08,2025-08-22T00:04:54.948000
1755801295880,112363.08,2025-08-22T00:04:55.880000
1755801297578,112363.08,2025-08-22T00:04:57.578000
1755801299578,112363.08,2025-08-22T00:04:59.578000
1755801301567,112378.58,2025-08-22T00:05:01.567000
1755801303914,112378.59,2025-08-22T00:05:03.914000
1755801305572,112378.59,2025-08-22T00:05:05.572000
1755801307901,112356.52,2025-08-22T00:05:07.901000
1755801309897,112356.52,2025-08-22T00:05:09.897000
1755801311899,112356.52,2025-08-22T00:05:11.899000
1755801313579,112356.52,2025-08-22T00:05:13.579000
1755801315579,112356.51,2025-08-22T00:05:15.579000
1755801317575,112356.51,2025-08-22T00:05:17.575000
1755801319875,112356.52,2025-08-22T00:05:19.875000
1755801321896,112356.52,2025-08-22T00:05:21.896000
1755801323902,112365.66,2025-08-22T00:05:23.902000
1755801325574,112365.66,2025-08-22T00:05:25.574000
1755801327574,112365.66,2025-08-22T00:05:27.574000
1755801329889,112365.66,2025-08-22T00:05:29.889000
1755801331582,112365.66,2025-08-22T00:05:31.582000
1755801333868,112365.66,2025-08-22T00:05:33.868000
1755801335570,112365.66,2025-08-22T00:05:35.570000
1755801337566,112365.66,2025-08-22T00:05:37.566000
1755801339885,112395.24,2025-08-22T00:05:39.885000
1755801341867,112395.24,2025-08-22T00:05:41.867000
1755807075553,112323.74,2025-08-22T01:41:15.553000
1755807076669,112323.74,2025-08-22T01:41:16.669000
1755807078965,112323.74,2025-08-22T01:41:18.965000
1755807080668,112323.74,2025-08-22T01:41:20.668000
1755807082663,112323.73,2025-08-22T01:41:22.663000
1755807084665,112323.73,2025-08-22T01:41:24.665000
1755807086670,112323.73,2025-08-22T01:41:26.670000
1755807088657,112323.73,2025-08-22T01:41:28.657000
1755807090656,112323.73,2025-08-22T01:41:30.656000
1755807092665,112323.73,2025-08-22T01:41:32.665000
1755807094968,112323.73,2025-08-22T01:41:34.968000
1755807096664,112323.73,2025-08-22T01:41:36.664000
1755807098663,112327.72,2025-08-22T01:41:38.663000
1755807100668,112327.72,2025-08-22T01:41:40.668000
1755807102665,112340.0,2025-08-22T01:41:42.665000
1755807104660,112340.0,2025-08-22T01:41:44.660000
1755807106969,112340.0,2025-08-22T01:41:46.969000
1755807108668,112340.0,2025-08-22T01:41:48.668000
1755807110661,112340.0,2025-08-22T01:41:50.661000
1755807112964,112340.0,2025-08-22T01:41:52.964000
1755807114960,112339.99,2025-08-22T01:41:54.960000
1755807116975,112339.99,2025-08-22T01:41:56.975000
1755807118656,112339.99,2025-08-22T01:41:58.656000
1755807121789,112327.11,2025-08-22T01:42:01.789000
1755807123480,112327.11,2025-08-22T01:42:03.480000
1755807126049,112327.12,2025-08-22T01:42:06.049000
1755807127483,112327.12,2025-08-22T01:42:07.483000
1755807129798,112327.12,2025-08-22T01:42:09.798000
1755807131487,112323.11,2025-08-22T01:42:11.487000
1755807133800,112323.11,2025-08-22T01:42:13.800000
1755807135805,112323.11,2025-08-22T01:42:15.805000
1755807137784,112323.11,2025-08-22T01:42:17.784000
1755807139485,112323.11,2025-08-22T01:42:19.485000
1755807141479,112323.11,2025-08-22T01:42:21.479000
1755807143804,112302.63,2025-08-22T01:42:23.804000
1755807145791,112302.63,2025-08-22T01:42:25.791000
1755807147473,112302.63,2025-08-22T01:42:27.473000
1755807149476,112302.63,2025-08-22T01:42:29.476000
1755807151796,112302.63,2025-08-22T01:42:31.796000
1755807153478,112302.63,2025-08-22T01:42:33.478000
1755807155476,112302.63,2025-08-22T01:42:35.476000
1755807157474,112302.63,2025-08-22T01:42:37.474000
1755807159476,112302.63,2025-08-22T01:42:39.476000
1755807161793,112302.63,2025-08-22T01:42:41.793000
1755807163478,112302.62,2025-08-22T01:42:43.478000
1755807165480,112298.61,2025-08-22T01:42:45.480000
1755807167801,112298.61,2025-08-22T01:42:47.801000
1755807169854,112298.61,2025-08-22T01:42:49.854000
1755807171813,112298.61,2025-08-22T01:42:51.813000
1755807173485,112298.61,2025-08-22T01:42:53.485000
1755807175580,112298.61,2025-08-22T01:42:55.580000
1755807177480,112298.61,2025-08-22T01:42:57.480000
1755807187478,112281.34,2025-08-22T01:43:07.478000
1755807195886,112281.33,2025-08-22T01:43:15.886000
1755807197485,112281.34,2025-08-22T01:43:17.485000
1755807198660,112281.34,2025-08-22T01:43:18.660000
1755807200663,112281.34,2025-08-22T01:43:20.663000
1755807202663,112295.59,2025-08-22T01:43:22.663000
1755807204668,112295.59,2025-08-22T01:43:24.668000
1755807206660,112295.59,2025-08-22T01:43:26.660000
